cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15821946000.0,,2023-01-20,0000320193-23-000006,2023,Q1,10-Q,2023-02-03,CY2022Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15728702000.0,,2023-04-21,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,CY2023Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15634232000.0,,2023-07-21,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,CY2023Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15552752000.0,,2023-10-20,0000320193-23-000106,2023,FY,10-K,2023-11-03,CY2023Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15441881000.0,,2024-01-19,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15334082000.0,,2024-04-19,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15204137000.0,,2024-07-19,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,CY2024Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15115823000.0,,2024-10-18,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,15022073000.0,,2025-01-17,0000320193-25-000008,2025,Q1,10-Q,2025-01-31,CY2024Q4I
320193,Apple Inc.,dei,EntityPublicFloat,USD,94593000000.0,,2009-03-28,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,
320193,Apple Inc.,dei,EntityPublicFloat,USD,94593000000.0,,2009-03-28,0001193125-09-214859,2009,FY,10-K,2009-10-27,
320193,Apple Inc.,dei,EntityPublicFloat,USD,94593000000.0,,2009-03-28,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2009Q1I
